player_name,team_abbreviation,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
Quincy Pondexter,MEM,24.0,198.12,102.0582,64,4.2,2.0,0.4,2.2,0.061,0.084,0.131,0.517,0.0409999999999999,2011-12
Jeffery Taylor,CHA,25.0,200.66,102.0582,26,8.0,2.3,0.8,-6.9,0.026,0.087,0.187,0.436,0.06,2013-14
John Wall,WAS,20.0,193.04,88.45044,69,16.4,4.6,8.3,-9.0,0.0139999999999999,0.127,0.236,0.494,0.357,2010-11
Michael Carter-Williams,PHI,22.0,198.12,83.91452,70,16.7,6.2,6.3,-9.1,0.043,0.158,0.256,0.48,0.292,2013-14
Josh Powell,ATL,28.0,205.74,108.86208,54,4.1,2.5,0.4,-10.6,0.094,0.163,0.2,0.492,0.059,2010-11
Tornike Shengelia,CHI,22.0,205.74,99.79024,26,1.1,0.6,0.5,-11.0,0.0289999999999999,0.094,0.127,0.46,0.141,2013-14
Chris Kaman,DAL,31.0,213.36,120.20188,66,10.5,5.6,0.8,-4.6,0.0819999999999999,0.226,0.255,0.529,0.066,2012-13
James Johnson,TOR,25.0,205.74,112.490816,62,9.1,4.7,2.0,-3.8,0.0559999999999999,0.162,0.2019999999999999,0.498,0.138,2011-12
Vince Carter,DAL,35.0,198.12,99.79024,61,10.1,3.4,2.3,6.8,0.024,0.124,0.205,0.519,0.143,2011-12
E'Twaun Moore,ORL,25.0,193.04,86.636072,79,6.3,1.7,1.4,-3.5,0.022,0.08,0.1639999999999999,0.513,0.122,2013-14
Jon Brockman,MIL,25.0,200.66,115.66596,35,1.1,2.1,0.3,-0.3,0.149,0.212,0.1119999999999999,0.359,0.054,2011-12
James Johnson,MEM,27.0,205.74,112.490816,52,7.4,3.2,2.1,6.4,0.077,0.126,0.1969999999999999,0.552,0.175,2013-14
Marcin Gortat,WAS,31.0,210.82,108.86208,82,12.2,8.7,1.2,6.0,0.084,0.237,0.175,0.5870000000000001,0.062,2014-15
Jan Vesely,WAS,23.0,210.82,108.86208,51,2.5,2.4,0.5,-3.1,0.084,0.151,0.122,0.48,0.069,2012-13
Michael Kidd-Gilchrist,CHA,21.0,200.66,105.233344,55,10.9,7.6,1.4,3.1,0.075,0.214,0.183,0.519,0.078,2014-15
