team,label
"[('Vince Carter', 'PG'), ('Leandro Barbosa', 'SG'), ('Derrick Favors', 'SF'), ('James Johnson', 'PF'), ('Jamaal Magloire', 'C')]",1
"[('Sebastian Telfair', 'PG'), ('Leandro Barbosa', 'SG'), ('Leon Powe', 'SF'), ('Zach Randolph', 'PF'), ('Marcin Gortat', 'C')]",1
"[('Jannero Pargo', 'PG'), ('Wayne Ellington', 'SG'), ('Chris Wright', 'SF'), ('Taj Gibson', 'PF'), ('Tyson Chandler', 'C')]",1
"[('JR Smith', 'PG'), ('Marcus Thornton', 'SG'), ('Jason Kapono', 'SF'), ('Zach Randolph', 'PF'), ('Hilton Armstrong', 'C')]",1
"[('Eric Gordon', 'PG'), ('Leandro Barbosa', 'SG'), ('Greg Smith', 'SF'), ('Samardo Samuels', 'PF'), ('Roy Hibbert', 'C')]",1
"[('Nate Robinson', 'PG'), ('Wayne Ellington', 'SG'), ('Tornike Shengelia', 'SF'), ('Samardo Samuels', 'PF'), ('Timofey Mozgov', 'C')]",1
"[('Ricky Rubio', 'PG'), ('Marcus Thornton', 'SG'), ('Craig Brackins', 'SF'), ('Samardo Samuels', 'PF'), ('Dexter Pittman', 'C')]",1
"[('Pooh Jeter', 'PG'), ('Jeffery Taylor', 'SG'), ('Zoran Dragic', 'SF'), ('Lavoy Allen', 'PF'), ('Marcin Gortat', 'C')]",1
"[('Eric Gordon', 'PG'), ('Tobias Harris', 'SG'), ('Hedo Turkoglu', 'SF'), ('James Johnson', 'PF'), ('Tiago Splitter', 'C')]",1
"[('Sasha Vujacic', 'PG'), ('Jeffery Taylor', 'SG'), ('Brian Skinner', 'SF'), ('Travis Outlaw', 'PF'), ('Dexter Pittman', 'C')]",1
"[('Sebastian Telfair', 'PG'), ('Jodie Meeks', 'SG'), ('Willie Warren', 'SF'), ('Taj Gibson', 'PF'), ('Tiago Splitter', 'C')]",1
"[('Nicolas Batum', 'PG'), ('Michael Kidd-Gilchrist', 'SG'), ('Lance Thomas', 'SF'), ('Zach Randolph', 'PF'), ('Donatas Motiejunas', 'C')]",1
"[('Raymond Felton', 'PG'), ('Jeffery Taylor', 'SG'), ('Udonis Haslem', 'SF'), ('Travis Outlaw', 'PF'), ('Timofey Mozgov', 'C')]",1
"[('Ricky Rubio', 'PG'), ('Jodie Meeks', 'SG'), ('Brian Scalabrine', 'SF'), ('Luol Deng', 'PF'), ('Aaron Gray', 'C')]",1
"[('Steve Blake', 'PG'), ('Leandro Barbosa', 'SG'), ('Leon Powe', 'SF'), ('Luol Deng', 'PF'), ('Tyson Chandler', 'C')]",1
"[('Michael Carter-Williams', 'PG'), ('Jeffery Taylor', 'SG'), ('Al Jefferson', 'SF'), ('Taj Gibson', 'PF'), ('Jason Smith', 'C')]",1
"[('Kyle Lowry', 'PG'), ('Wayne Ellington', 'SG'), ('DeJuan Blair', 'SF'), ('Lavoy Allen', 'PF'), ('Dwight Howard', 'C')]",1
